Local,Descricao
2600.0,"Av. Profº. Francisco Morato (Bairro/Centro) a menos 20,0m da R. Gal. Sena Vasconcelos"
2601.0,"Av. Profº. Francisco Morato (Bairro/Centro) a menos 20,0m da R. Gal. Sena Vasconcelos"
2602.0,Av. Ver. José Diniz (Bairro/Centro) a menos 70m da R. Américo Brasiliense
2603.0,Av. Ver. José Diniz (Bairro/Centro) a menos 70m da R. Américo Brasiliense
2605.0,Av. Interlagos (Centro/Bairro) A menos 24m. R. Eng°. Alliyrio Hugueney de Mattos
2608.0,"Estrada do M'Boi Mirim, a menos 60 m da Rua João de Lima Bonfante Bairro/Centro"
2609.0,"Estrada do M'Boi Mirim, a menos 60 m da Rua João de Lima Bonfante Bairro/Centro"
2610.0,Av. Eng°. Armando de Arruda Pereira (Bairro/Centro) a mais 15m. R. Fachini
2611.0,Av. das Nações Unidas (Interlagos/Castelo Branco) a mais 10m. R. Bragança Paulista
2612.0,Av. das Nações Unidas (Interlagos/Castelo Branco) R. Guriú
2613.0,Av. dos Bandeirantes  Pista Expressa (Marginal/Imigrantes) a mais 23m. R. Porto Martins
2614.0,Estr. do Campo Limpo (Centro/Bairro) nº 3.677
2615.0,Estr. do Campo Limpo (Bairro/Centro) a mais 35m. R. Batista Crespo
2616.0,Av. Escola Politécnica (Marginal Pinheiros/Raposo) nº 5.050
2617.0,Av. Escola Politécnica (Raposo/Marginal Pinheiros) nº 5.173
2618.0,Av. Escola Politécnica (Raposo/Marginal Pinheiros) a mais 29m. nº 3.545
2619.0,Av. Eng°. Armando de Arruda Pereira (Centro/Bairro) a mais 121m. R. Luiz Carlos Fachini
2620.0,Av. Morumbi (Fco.Morato/Marginal Pinheiros) oposto ao n° 6.341
2621.0,Av. Morumbi (Marginal Pinheiros/Fco.Morato) n° 6.341
2622.0,Av. dos Bandeirantes (Imigrantes/Marginal) a menos 68m. R. Antonio Gomide
2623.0,Av. dos Bandeirantes  Pista Expressa (Imigrantes/ Marginal Pinheiros) a menos 34m. R. Lourenço Marques
2625.0,Av. das Nações Unidas (Interlagos/Castelo Branco) a mais 200m da R. Engº. Mesquita Sampaio
2626.0,Av. das Nações Unidas (Interlagos/Castelo Branco) a mais 200m da R. Engº. Mesquita Sampaio
2627.0,Marginal Pinheiros  Pista Expressa (Interlagos/Castelo Branco) a mais 103m do km 12
2629.0,Marginal Pinheiros  Pista Expressa (Interlagos/Castelo Branco) a menos 66m. km 14
2631.0,Av. das Nações Unidas (Interlagos/Castelo Branco) nº 7.203
2632.0,Marginal Pinheiros  Pista Expressa (Interlagos/Castelo Branco) a mais 139m do Km 1
2636.0,Marginal Pinheiros  Pista Expressa (Castelo Branco/Interlagos) a menos 242m. km 2
2638.0,Marginal Pinheiros (Castelo Branco/Interlagos) n° 16.741
2640.0,Av. Washington Luis (Bairro/Centro) a menos 19m. da Av. Dória
2641.0,Av. Washington Luis (Bairro/Centro) a menos 76m. da R. Robelia
2642.0,Av. Washington Luis (Bairro/Centro) a menos 9m. da R. Dr Abelardo Vergueiro Cesar
2643.0,"Av. Affonso D'Escragnolle Taunay (Marginal/Imigrantes) a mais 54,5m. Viad. Dante Delmanto"
2644.0,Av. Corifeu de Azevedo Marques (Centro/Bairro) nº 250 - a menos70m. nº 250
2645.0,Av. Corifeu de Azevedo Marques (Centro/Bairro) nº 250 - a menos70m. nº 250
2646.0,"Av. Corifeu de Azevedo Marques (Bairro/Centro) a mais 9,5m. R. Padre Justino"
2647.0,"Av. Corifeu de Azevedo Marques (Bairro/Centro) a mais 9,5m. R. Padre Justino"
2648.0,Av. Santo Amaro (Centro/Bairro) a mais 28m. R. Verbo Divino
2653.0,Av. dos Bandeirantes (Imigrantes/Marginal) a mais 164m. R. Gaivota
2654.0,Av. das Nações Unidas (Interlagos/Castelo Branco) n° 12.399
2655.0,Av. dos Bandeirantes (Marginal/Imigrantes) a menos 197m. n° 2.040
2656.0,R. Alvarenga (Centro/Bairro) a menos 28m. R. Alexandre M. Machado
2657.0,Av. Sen. Teotonio Vilela (Bairro /Centro) a mais 163m do n° 3.063
2658.0,Av. Sen. Teotonio Vilela (Bairro /Centro) a mais 163m do n° 3.063
2659.0,Av. Sen. Teotonio Vilela (Centro/Bairro) n° 2.926
2660.0,Av. Sen. Teotonio Vilela (Centro/Bairro) n° 2.926
2661.0,Av. Magalhães de Castro (Castelo Branco/Interlagos) a mais 10m. R. Murtinho Nobre
2662.0,Av. Magalhães de Castro (Castelo Branco/Interlagos) a menos 55m. R. Francisco Tramontano
2664.0,R.Verbo Divino (Marginal/Santo Amaro) Av. Santo Amaro
2665.0,Av. Santo Amaro (Centro/Bairro) R. Graham Bell
2666.0,Av. Santo Amaro (Centro/Bairro) R. Graham Bell
2667.0,Estr. do M ' Boi Mirim (Bairro/Centro) R. Anhandui Mirim
2668.0,Estr. do M ' Boi Mirim (Bairro/Centro) R. Anhandui Mirim
2669.0,Estr. do Campo Limpo (Centro/Bairro) Av. Carlos Caldeira Filho
2670.0,"Av. das Nações Unidas (Castelo Branco/Interlagos) n° 22.540, Retorno"
2671.0,"Av. das Nações Unidas (Interlagos/Castelo Branco) n° 22.413, Retorno"
2672.0,Av. das Nações Unidas (Castelo Branco/Interlagos) n° 22.540
2673.0,Estr. do Campo Limpo (Centro/Bairro) a mais 28m. da Av. Vitor Gabriel
2674.0,Largo Campo Limpo (Jd. Maria Virginia/Jd. Bom Refúgio) Estr. do Campo Limpo
2675.0,Estr. do Campo Limpo (Carlos Lacerda/Fco. Morato) a menos 90m. do n° 3.284
2676.0,Av. Carlos Caldeira Filho (Bairro/Centro) R. Rogerio de Paula Brito
2677.0,Av. Prof°. Francisco Morato (Bairro/Centro) Av. Lineu de Paula Machado
2678.0,Av. Escola Politécnica (Raposo/Marginal) R. Jorge Ward
2679.0,Av. Escola Politécnica (Marginal/Raposo) R. Jorge Ward
2680.0,R. Conde Moreira Lima (Cidade Ademar/Jabaquara - Jabaquara/Cidade Ademar) n° 395 - n° 382
2681.0,R. Conde Moreira Lima (Cidade Ademar/Jabaquara - Jabaquara/Cidade Ademar) n° 395 - n° 382
2682.0,Av. Corifeu de Azevedo Marques (Bairro/Centro) Av. Escola Politécnica
2683.0,Av. Dona Belmira Marin (Bairro/Centro) R. Dr°. Oscar Andrade Lemos
2684.0,Al. Dos Tupiniquins (Imigrantes/Marginal) Av. dos Bandeirantes
2685.0,Av. dos Bandeirantes (Imigrantes/Marginal) Av. Miruna
2686.0,Av. dos Bandeirantes  Pista Local (Imigrantes/Marginal) a menos 28m. R. Lourenço Marques
2687.0,Av. dos Bandeirantes  Pista Local (Marginal/Imigrantes) a mais 23m. R. Porto Martins
2688.0,Av. Eliseu de Almeida (Bairro/Centro) a mais 95m.R. Heitor dos Prazeres
2689.0,Av. Eliseu de Almeida (Bairro/Centro) a mais 95m.R. Heitor dos Prazeres
2692.0,Av. Eliseu de Almeida (Centro/Bairro) a mais 6m. R. Dom Henrique Mourão
2693.0,Marginal Pinheiros  Pista Expressa (Castelo Branco/Interlagos) a mais 117m. km 13
2695.0,Av. das Nações Unidas (Interlagos/Castelo Branco) nº 18.001
2696.0,"Marginal Pinheiros  Pista Expressa (Interlagos/Castelo Branco) a mais 130m do km 17,5"
2698.0,"Marginal Pinheiros  Pista Expressa (Castelo Branco/Interlagos) a mais 650m do Km 4,5 (USP)"
2699.0,Marginal Pinheiros  Pista Expressa (Interlagos/Castelo Branco) a menos 15m. Ponte Eusébio Matoso
2700.0,R. Hungria (Interlagos/Castelo Branco) a menos 20m. Av. Rebouças
2701.0,Av. Guarapiranga (Centro/Bairro) a menos 178m. Av. Guido Caloi
2702.0,Av. Guarapiranga (Bairro/Centro) nº 1.389
2703.0,Av. Guarapiranga (Bairro/Centro) nº 1.389
2704.0,Av. Guarapiranga (Centro/Bairro) a menos 178m. Av. Guido Caloi
2705.0,Marginal do Rio Pinheiros (Castelo Branco/Interlagos) a mais 238m do Km 10
2707.0,Av. Dr°. Guilherme Dumont Villares (Fco.Morato/Giovanni) a menos 55m da R. Carapoana
2708.0,Av. Padre Lebret (Bairro/Centro) n° 714
2709.0,Rod. Dos Imigrantes (Santos/São Paulo) a menos 1.200m. da R. Guaratu
2710.0,Rod. Dos Imigrantes (São Paulo/Santos) a menos 473m da R. Itaguara
2711.0,Estr. do M' Boi Mirim (Centro/Bairro) a mais 27m. n° 460
2712.0,Estr. do M' Boi Mirim (Centro/Bairro) a mais 27m. n° 460
2713.0,Av. Atlântica (Centro/Bairro) a mais 175m. R. Mario Martins de Almeida
